symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
USD_JPY,78,49,62.8,34.71,34710.03,0.445
USD_CHF,72,46,63.9,31.38,31376.65,0.436
AUD_JPY,75,45,60.0,28.55,28552.6,0.381
GBP_NZD,85,50,58.8,23.29,23288.74,0.274
GBP_JPY,66,40,60.6,22.94,22939.03,0.348
CHF_JPY,70,41,58.6,21.34,21343.44,0.305
XAU_USD,67,35,52.2,17.93,17925.27,0.268
USD_CAD,98,54,55.1,16.86,16859.78,0.172
NAS100_USD,64,31,48.4,14.0,13995.51,0.219
EUR_USD,78,42,53.8,13.41,13405.51,0.172
GBP_CAD,66,37,56.1,13.22,13218.79,0.2
SPX500_USD,70,35,50.0,12.8,12802.81,0.183
EUR_NZD,70,36,51.4,10.48,10481.42,0.15
GBP_CHF,64,35,54.7,9.44,9439.28,0.147
GBP_USD,74,37,50.0,9.24,9243.37,0.125
EUR_GBP,69,40,58.0,8.86,8862.0,0.128
XAG_USD,55,26,47.3,8.34,8342.36,0.152
GBP_AUD,73,37,50.7,7.23,7231.85,0.099
AUD_CAD,79,44,55.7,7.2,7203.95,0.091
EUR_CAD,55,27,49.1,4.33,4325.29,0.079
NZD_CHF,56,27,48.2,2.27,2270.03,0.041
CAD_JPY,81,39,48.1,0.54,541.16,0.007
EUR_JPY,82,39,47.6,-0.37,-365.14,-0.004
AUD_USD,88,41,46.6,-4.66,-4655.54,-0.053
AUD_CHF,66,29,43.9,-6.26,-6261.13,-0.095
BTC_USD,117,44,37.6,-7.85,-7850.33,-0.067
AUD_NZD,74,30,40.5,-9.35,-9349.26,-0.126
EUR_AUD,70,25,35.7,-12.18,-12182.21,-0.174
ETH_USD,108,40,37.0,-14.26,-14262.03,-0.132
NZD_CAD,77,31,40.3,-15.1,-15098.43,-0.196
CAD_CHF,62,20,32.3,-17.21,-17207.96,-0.278
NZD_JPY,84,31,36.9,-18.48,-18482.02,-0.22
NZD_USD,86,31,36.0,-19.73,-19733.12,-0.229
EUR_CHF,79,32,40.5,-20.57,-20568.87,-0.26
TOTAL,2558,1246,48.7,172.34,172342.83,0.067
