timestamp,type,equity,balance,floating_pnl,limit,deficit,open_trades,symbols
2023-02-03 15:00:00,DAILY,64405.95332938503,65409.0,-1003.0466706149701,65700.04753852598,1294.0942091409452,49,"EUR_JPY,NZD_CAD,USD_JPY,EUR_NZD,EUR_NZD,SPX500_USD,EUR_CAD,USD_CHF,GBP_CHF,EUR_JPY"
2023-02-05 22:00:00,DAILY,61846.47419689518,64941.0,-3094.525803104819,61916.25,69.77580310482153,50,"EUR_JPY,EUR_NZD,EUR_NZD,SPX500_USD,EUR_CAD,USD_CHF,GBP_CHF,EUR_JPY,NZD_CHF,EUR_CAD"
2023-02-06 22:00:00,DAILY,60888.350069203545,64464.0,-3575.6499307964527,61240.8,352.4499307964579,50,"EUR_JPY,EUR_NZD,EUR_NZD,SPX500_USD,USD_CHF,GBP_CHF,EUR_JPY,NZD_CHF,EUR_CAD,CAD_JPY"
2023-02-10 15:00:00,DAILY,60421.98086249393,64104.0,-3682.0191375060667,60898.8,476.81913750607055,56,"EUR_JPY,EUR_NZD,EUR_NZD,SPX500_USD,USD_CHF,GBP_CHF,EUR_JPY,NZD_CHF,EUR_CAD,CAD_JPY"
2023-02-10 21:00:00,DAILY,60077.38878445175,64104.0,-4026.6112155482447,60898.8,821.4112155482508,56,"EUR_JPY,EUR_NZD,EUR_NZD,SPX500_USD,USD_CHF,GBP_CHF,EUR_JPY,NZD_CHF,EUR_CAD,CAD_JPY"
2023-02-12 22:00:00,DAILY,60152.5044895536,64104.0,-3951.4955104464043,60898.8,746.2955104464054,58,"EUR_JPY,EUR_NZD,EUR_NZD,SPX500_USD,USD_CHF,GBP_CHF,EUR_JPY,NZD_CHF,EUR_CAD,CAD_JPY"
2023-03-28 02:00:00,DAILY,63785.877043949295,62773.8,1012.0770439492903,63857.33211435549,71.4550704061985,33,"USD_CHF,GBP_USD,GBP_USD,NAS100_USD,NAS100_USD,NZD_CAD,ETH_USD,ETH_USD,BTC_USD,BTC_USD"
2023-03-30 18:00:00,DAILY,63005.22739558505,61819.8,1185.4273955850463,63040.56938410118,35.341988516134734,39,"USD_CHF,GBP_USD,GBP_USD,NAS100_USD,NAS100_USD,NZD_CAD,ETH_USD,ETH_USD,BTC_USD,BTC_USD"
2023-03-31 02:00:00,DAILY,62294.35686633942,62413.8,-119.4431336605866,62330.608526957396,36.251660617977905,38,"USD_CHF,GBP_USD,GBP_USD,NZD_CAD,ETH_USD,ETH_USD,BTC_USD,BTC_USD,USD_CHF,NZD_CHF"
2023-07-27 18:00:00,DAILY,79470.58459452838,79117.80000000002,352.78459452835534,79906.17190729611,435.58731276773324,46,"EUR_NZD,EUR_NZD,AUD_USD,AUD_NZD,EUR_AUD,AUD_CHF,SPX500_USD,ETH_USD,ETH_USD,EUR_AUD"
2023-09-11 14:00:00,DAILY,83145.50213267747,81700.80000000002,1444.702132677456,83327.5342056495,182.03207297202607,49,"EUR_NZD,AUD_NZD,EUR_AUD,SPX500_USD,NZD_USD,AUD_NZD,AUD_JPY,EUR_CHF,CAD_JPY,USD_CHF"
2023-11-14 18:00:00,DAILY,75974.41655154285,74077.80000000002,1896.6165515428363,76283.89056960618,309.474018063338,41,"AUD_JPY,EUR_AUD,EUR_AUD,USD_CAD,CAD_JPY,CAD_JPY,GBP_JPY,GBP_JPY,USD_CHF,GBP_USD"
